"[Account_Value]","[Account_Name]","[Account_Description]","[Account_Type]","[Account_Sign]","[Account_Document]","[Account_Summary]","[Default_Account]","[Account_Parent]","[Balance Sheet]","[Balance Sheet_Name]","[US 1120 Balance Sheet]","US 1120 Balance Sheet_Name","[Profit & Loss]","[Profit & Loss_Name]","[US 1120 Income Statement]","[US 1120 Income Statement_Name]","[Cash Flow]","[Cash Flow_Name]"
1,"Ingangsetzungs- und Erweiterungsaufwand","Ingangsetzungs- und Erweiterungsaufwand","Asset",,"Yes","No",,,,,,,,,,,,
2,"Aufwendungen Währungsumstellung Euro","Aufwendungen Währungsumstellung Euro","Asset",,"Yes","No",,,,,,,,,,,,
10,"Konzessionen und gewerbl.Schutzrechte","Konzessionen und gewerbl.Schutzrechte","Asset",,"Yes","No",,,,,,,,,,,,
15,"Konzessionen","Konzessionen","Asset",,"Yes","No",,,,,,,,,,,,
20,"Gewerbliche Schutzrechte","Gewerbliche Schutzrechte","Asset",,"Yes","No",,,,,,,,,,,,
25,"Ähnliche Rechte und Werte","Ähnliche Rechte und Werte","Asset",,"Yes","No",,,,,,,,,,,,
27,"EDV-Software","EDV-Software","Asset",,"Yes","No",,,,,,,,,,,,
30,"Lizenzen an gewerblichen Schutzrechten","Lizenzen an gewerblichen Schutzrechten","Asset",,"Yes","No",,,,,,,,,,,,
35,"Geschäfts- oder Firmenwert","Geschäfts- oder Firmenwert","Asset",,"Yes","No",,,,,,,,,,,,
38,"Anzahlungen auf Geschäfts-, Firmenwert","Anzahlungen auf Geschäfts-, Firmenwert","Asset",,"Yes","No",,,,,,,,,,,,
39,"Anzahlungen immaterielle VermG","Anzahlungen immaterielle VermG","Asset",,"Yes","No",,,,,,,,,,,,
40,"Verschmelzungsmehrwert","Verschmelzungsmehrwert","Asset",,"Yes","No",,,,,,,,,,,,
50,"Grundstücke,grndst.Rechte und Bauten","Grundstücke,grndst.Rechte und Bauten","Asset",,"Yes","No",,,,,,,,,,,,
60,"Grundstücke, grundstücksgl. Rechte","Grundstücke, grundstücksgl. Rechte","Asset",,"Yes","No",,,,,,,,,,,,
65,"Unbebaute Grundstücke","Unbebaute Grundstücke","Asset",,"Yes","No",,,,,,,,,,,,
70,"Grundstücksgleiche Rechte","Grundstücksgleiche Rechte","Asset",,"Yes","No",,,,,,,,,,,,
75,"Grundstücke mit Substanzverzehr","Grundstücke mit Substanzverzehr","Asset",,"Yes","No",,,,,,,,,,,,
79,"Anzahlungen a.Grundstücke ohne Bauten","Anzahlungen a.Grundstücke ohne Bauten","Asset",,"Yes","No",,,,,,,,,,,,
80,"Bauten auf eigenen Grundstücken","Bauten auf eigenen Grundstücken","Asset",,"Yes","No",,,,,,,,,,,,
85,"Grundstückswert bebauter Grundstücke","Grundstückswert bebauter Grundstücke","Asset",,"Yes","No",,,,,,,,,,,,
90,"Geschäftsbauten","Geschäftsbauten","Asset",,"Yes","No",,,,,,,,,,,,
100,"Fabrikbauten","Fabrikbauten","Asset",,"Yes","No",,,,,,,,,,,,
110,"Garagen","Garagen","Asset",,"Yes","No",,,,,,,,,,,,
111,"Außenanlagen","Außenanlagen","Asset",,"Yes","No",,,,,,,,,,,,
112,"Hof- und Wegebefestigungen","Hof- und Wegebefestigungen","Asset",,"Yes","No",,,,,,,,,,,,
113,"Einrichtung Fabrik- und Geschäftsbauten","Einrichtung Fabrik- und Geschäftsbauten","Asset",,"Yes","No",,,,,,,,,,,,
115,"Andere Bauten","Andere Bauten","Asset",,"Yes","No",,,,,,,,,,,,
120,"Geschäfts-,Fabrik- u.and. Bauten im Bau","Geschäfts-,Fabrik- u.and. Bauten im Bau","Asset",,"Yes","No",,,,,,,,,,,,
129,"Anzahlg. auf Bauten eigen. Grundstücken","Anzahlg. auf Bauten eigen. Grundstücken","Asset",,"Yes","No",,,,,,,,,,,,
140,"Wohnbauten","Wohnbauten","Asset",,"Yes","No",,,,,,,,,,,,
145,"Garagen","Garagen","Asset",,"Yes","No",,,,,,,,,,,,
146,"Außenanlagen","Außenanlagen","Asset",,"Yes","No",,,,,,,,,,,,
147,"Hof- und Wegebefestigungen","Hof- und Wegebefestigungen","Asset",,"Yes","No",,,,,,,,,,,,
148,"Einrichtungen für Wohnbauten","Einrichtungen für Wohnbauten","Asset",,"Yes","No",,,,,,,,,,,,
150,"Wohnbauten im Bau","Wohnbauten im Bau","Asset",,"Yes","No",,,,,,,,,,,,
159,"Anzahlg. auf Wohnbauten a.eig.Grundst","Anzahlg. auf Wohnbauten a.eig.Grundst","Asset",,"Yes","No",,,,,,,,,,,,
160,"Bauten auf fremden Grundstücken","Bauten auf fremden Grundstücken","Asset",,"Yes","No",,,,,,,,,,,,
165,"Geschäftsbauten","Geschäftsbauten","Asset",,"Yes","No",,,,,,,,,,,,
170,"Fabrikbauten","Fabrikbauten","Asset",,"Yes","No",,,,,,,,,,,,
175,"Garagen","Garagen","Asset",,"Yes","No",,,,,,,,,,,,
176,"Außenanlagen","Außenanlagen","Asset",,"Yes","No",,,,,,,,,,,,
177,"Hof- und Wegebefestigungen","Hof- und Wegebefestigungen","Asset",,"Yes","No",,,,,,,,,,,,
178,"Einrichtung Fabrik- und Geschäftsbauten","Einrichtung Fabrik- und Geschäftsbauten","Asset",,"Yes","No",,,,,,,,,,,,
179,"Andere Bauten","Andere Bauten","Asset",,"Yes","No",,,,,,,,,,,,
180,"Geschäfts-,Fabrik-u.and. Bauten im Bau","Geschäfts-,Fabrik-u.and. Bauten im Bau","Asset",,"Yes","No",,,,,,,,,,,,
189,"Anzahlg. auf Bauten fremd. Grundstücken","Anzahlg. auf Bauten fremd. Grundstücken","Asset",,"Yes","No",,,,,,,,,,,,
190,"Wohnbauten","Wohnbauten","Asset",,"Yes","No",,,,,,,,,,,,
191,"Garagen","Garagen","Asset",,"Yes","No",,,,,,,,,,,,
192,"Außenanlagen","Außenanlagen","Asset",,"Yes","No",,,,,,,,,,,,
193,"Hof- und Wegebefestigungen","Hof- und Wegebefestigungen","Asset",,"Yes","No",,,,,,,,,,,,
194,"Einrichtungen für Wohnbauten","Einrichtungen für Wohnbauten","Asset",,"Yes","No",,,,,,,,,,,,
195,"Wohnbauten im Bau","Wohnbauten im Bau","Asset",,"Yes","No",,,,,,,,,,,,
199,"Anzahlungen a. Wohnbauten a. fremd. Gr.","Anzahlungen a. Wohnbauten a. fremd. Gr.","Asset",,"Yes","No",,,,,,,,,,,,
200,"Technische Anlagen *und Maschinen","Technische Anlagen *und Maschinen","Asset",,"Yes","No",,,,,,,,,,,,
210,"Maschinen","Maschinen","Asset",,"Yes","No",,,,,,,,,,,,
220,"Maschinengebundene Werkzeuge","Maschinengebundene Werkzeuge","Asset",,"Yes","No",,,,,,,,,,,,
240,"Maschinelle Anlagen","Maschinelle Anlagen","Asset",,"Yes","No",,,,,,,,,,,,
260,"Transportanlagen und ähnliches","Transportanlagen und ähnliches","Asset",,"Yes","No",,,,,,,,,,,,
280,"Betriebsvorrichtungen","Betriebsvorrichtungen","Asset",,"Yes","No",,,,,,,,,,,,
290,"Technische Anlagen und Maschinen im Bau","Technische Anlagen und Maschinen im Bau","Asset",,"Yes","No",,,,,,,,,,,,
299,"Anzahlungen auf technische Anlagen","Anzahlungen auf technische Anlagen","Asset",,"Yes","No",,,,,,,,,,,,
300,"Betriebs- und Geschäftsausstattung","Betriebs- und Geschäftsausstattung","Asset",,"Yes","No",,,,,,,,,,,,
310,"Andere Anlagen","Andere Anlagen","Asset",,"Yes","No",,,,,,,,,,,,
320,"PKW","PKW","Asset",,"Yes","No",,,,,,,,,,,,
350,"LKW","LKW","Asset",,"Yes","No",,,,,,,,,,,,
380,"Sonstige Transportmittel","Sonstige Transportmittel","Asset",,"Yes","No",,,,,,,,,,,,
400,"Betriebsausstattung","Betriebsausstattung","Asset",,"Yes","No",,,,,,,,,,,,
410,"Geschäftsausstattung","Geschäftsausstattung","Asset",,"Yes","No",,,,,,,,,,,,
420,"Büroeinrichtung","Büroeinrichtung","Asset",,"Yes","No",,,,,,,,,,,,
430,"Ladeneinrichtung","Ladeneinrichtung","Asset",,"Yes","No",,,,,,,,,,,,
440,"Werkzeuge","Werkzeuge","Asset",,"Yes","No",,,,,,,,,,,,
450,"Einbauten","Einbauten","Asset",,"Yes","No",,,,,,,,,,,,
460,"Gerüst- und Schalungsmaterial","Gerüst- und Schalungsmaterial","Asset",,"Yes","No",,,,,,,,,,,,
480,"GWG bis 410 Euro","GWG bis 410 Euro","Expense",,"Yes","No",,,,,,,,,,,,
490,"Sonstige Betriebs-u.Gesch.ausstattung","Sonstige Betriebs-u.Gesch.ausstattung","Asset",,"Yes","No",,,,,,,,,,,,
498,"Betriebs- u. Gesch.ausstattung im Bau","Betriebs- u. Gesch.ausstattung im Bau","Asset",,"Yes","No",,,,,,,,,,,,
499,"Anzahlung Betriebs- u. Gesch.ausstattung","Anzahlung Betriebs- u. Gesch.ausstattung","Asset",,"Yes","No",,,,,,,,,,,,
500,"Anteile an verbundenen Unternehmen","Anteile an verbundenen Unternehmen","Asset",,"Yes","No",,,,,,,,,,,,
504,"Anteile a.herrschender Gesellschaft","Anteile a.herrschender Gesellschaft","Asset",,"Yes","No",,,,,,,,,,,,
505,"Ausleihungen an verbundene Unternehmen","Ausleihungen an verbundene Unternehmen","Asset",,"Yes","No",,,,,,,,,,,,
510,"Beteiligungen","Beteiligungen","Asset",,"Yes","No",,,,,,,,,,,,
513,"Typisch stille Beteiligungen","Typisch stille Beteiligungen","Asset",,"Yes","No",,,,,,,,,,,,
516,"Atypische stille Beteiligungen","Atypische stille Beteiligungen","Asset",,"Yes","No",,,,,,,,,,,,
517,"Andere Beteiligungen an Kapitalges.","Andere Beteiligungen an Kapitalges.","Asset",,"Yes","No",,,,,,,,,,,,
518,"Andere Beteiligungen an Personenges.","Andere Beteiligungen an Personenges.","Asset",,"Yes","No",,,,,,,,,,,,
519,"Beteiligung GmbH&Co.an Komplementär GmbH","Beteiligung GmbH&Co.an Komplementär GmbH","Asset",,"Yes","No",,,,,,,,,,,,
520,"Ausleih. an UN mit *Beteiligungsverh.","Ausleih. an UN mit *Beteiligungsverh.","Asset",,"Yes","No",,,,,,,,,,,,
525,"Wertpapiere des Anlagevermögens","Wertpapiere des Anlagevermögens","Asset",,"Yes","No",,,,,,,,,,,,
530,"Wertpapiere mit Gewinnbeteil.ansprüch.","Wertpapiere mit Gewinnbeteil.ansprüch.","Asset",,"Yes","No",,,,,,,,,,,,
535,"Festverzinsliche Wertpapiere","Festverzinsliche Wertpapiere","Asset",,"Yes","No",,,,,,,,,,,,
540,"Sonstige Ausleihungen","Sonstige Ausleihungen","Asset",,"Yes","No",,,,,,,,,,,,
550,"Darlehen","Darlehen","Asset",,"Yes","No",,,,,,,,,,,,
570,"Genossenschaftsanteile z.lfr.Verbleib","Genossenschaftsanteile z.lfr.Verbleib","Asset",,"Yes","No",,,,,,,,,,,,
580,"Ausleihungen an Gesellschafter","Ausleihungen an Gesellschafter","Asset",,"Yes","No",,,,,,,,,,,,
590,"Ausleihungen an nahestehende Personen","Ausleihungen an nahestehende Personen","Asset",,"Yes","No",,,,,,,,,,,,
595,"LV-Rückdeckungsansprüche z.lfr.Verbl.","LV-Rückdeckungsansprüche z.lfr.Verbl.","Asset",,"Yes","No",,,,,,,,,,,,
600,"Anleihen, nicht konvertibel","Anleihen, nicht konvertibel","Asset",,"Yes","No",,,,,,,,,,,,
601,"Anleihen, nicht konvertibel (b. 1 Jahr)","Anleihen, nicht konvertibel (b. 1 Jahr)","Asset",,"Yes","No",,,,,,,,,,,,
605,"Anleihen, nicht konvertibel (1-5 Jahre)","Anleihen, nicht konvertibel (1-5 Jahre)","Asset",,"Yes","No",,,,,,,,,,,,
610,"Anleihen, nicht konvertibel (g.5 Jahre)","Anleihen, nicht konvertibel (g.5 Jahre)","Asset",,"Yes","No",,,,,,,,,,,,
615,"Anleihen konvertibel","Anleihen konvertibel","Asset",,"Yes","No",,,,,,,,,,,,
616,"Anleihen konvertibel(bis 1 Jahr)","Anleihen konvertibel(bis 1 Jahr)","Asset",,"Yes","No",,,,,,,,,,,,
620,"Anleihen konvertibel(1-5 Jahre)","Anleihen konvertibel(1-5 Jahre)","Asset",,"Yes","No",,,,,,,,,,,,
625,"Anleihen konvertibel(größer 5 Jahre)","Anleihen konvertibel(größer 5 Jahre)","Asset",,"Yes","No",,,,,,,,,,,,
630,"Verbindlichkeiten gg. Kreditinstituten","Verbindlichkeiten gg. Kreditinstituten","Liability",,"Yes","No",,,,,,,,,,,,
631,"Verbindlichkeiten gg.Kreditinstitut(b.1J)","Verbindlichkeiten gg.Kreditinstitut(b.1J)","Liability",,"Yes","No",,,,,,,,,,,,
640,"Verbindlichkeiten gg.Kreditinstitut(1-5J)","Verbindlichkeiten gg.Kreditinstitut(1-5J)","Liability",,"Yes","No",,,,,,,,,,,,
650,"Verbindlichkeiten gg.Kreditinstitut(g.5J)","Verbindlichkeiten gg.Kreditinstitut(g.5J)","Liability",,"Yes","No",,,,,,,,,,,,
660,"TZ-Verbindlichkeit. gg. Kreditinstituten","TZ-Verbindlichkeit. gg. Kreditinstituten","Liability",,"Yes","No",,,,,,,,,,,,
661,"TZ-Verbindlichkeit. Kreditinstitut,b.1 J","TZ-Verbindlichkeit. Kreditinstitut,b.1 J","Liability",,"Yes","No",,,,,,,,,,,,
670,"TZ-Verbindlichkeit. Kreditinstitut,1-5 J","TZ-Verbindlichkeit. Kreditinstitut,1-5 J","Liability",,"Yes","No",,,,,,,,,,,,
680,"TZ-Verbindlichkeit. Kreditinstitut,g.5 J","TZ-Verbindlichkeit. Kreditinstitut,g.5 J","Liability",,"Yes","No",,,,,,,,,,,,
699,"Gegenkonto bei Aufteilung Kto 0690-98","Gegenkonto bei Aufteilung Kto 0690-98","Liability",,"Yes","No",,,,,,,,,,,,
700,"Verbindlichk.gegenüber verbundenen UN","Default Payables account for intercompany trx","Liability",,"Yes","No","INTERCOMPANYDUETO_ACCT",,,,,,,,,,,
701,"Verbindlichkeit. gg.verbundene UN(b.1 J)","Verbindlichkeit. gg.verbundene UN(b.1 J)","Liability",,"Yes","No",,,,,,,,,,,,
705,"Verbindlichkeit. gg.verbundene UN(1-5 J)","Verbindlichkeit. gg.verbundene UN(1-5 J)","Liability",,"Yes","No",,,,,,,,,,,,
710,"Verbindlichkeit. gg.verbundene UN(g.5 J)","Verbindlichkeit. gg.verbundene UN(g.5 J)","Liability",,"Yes","No",,,,,,,,,,,,
715,"Verbindl. gg.UN mit Beteiligungsverh.","Verbindl. gg.UN mit Beteiligungsverh.","Liability",,"Yes","No",,,,,,,,,,,,
