[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Nivel],[Tipo],[Cuenta de la subcuenta],[Desglose de la subcuenta],[C/D de la subcuenta],[Ultimo epigrafe],[Izquierda(3)],[Sin signo],[Orden],[Order parent]
1,Activo,Activo,Asset,E,,Yes,,,  ,   ,  ,  ,  ,  ,  ,  ,  ,  
11,Disponible,Disponible,Asset,E,,Yes,,1, , ,,,,,,,,  
1105,Caja,Caja,Asset,E,,Yes,,11,,,,,,,,,,  
110505,Caja general,Caja general,Asset,E,,No,,1105,,,,,,,,,,  
110510,Cajas menores,Cajas menores,Asset,E,,No,,1105,,,,,,,,,,  
110515,Moneda extranjera,Moneda extranjera,Asset,E,,No,,1105,,,,,,,,,,  
1110,Bancos,Bancos,Asset,E,,Yes,,11,,,,,,,,,,  
111005,Moneda nacional,Moneda nacional,Asset,E,,No,,1110,,,,,,,,,,  
111010,Moneda extranjera,Moneda extranjera,Asset,E,,No,,1110,,,,,,,,,,  
1115,Remesas en tránsito,Remesas en tránsito,Asset,E,,Yes,,11,,,,,,,,,,  
111505,Moneda nacional,Moneda nacional,Asset,E,,No,,1115,,,,,,,,,,  
111510,Moneda extranjera,Moneda extranjera,Asset,E,,No,,1115,,,,,,,,,,  
1120,Cuentas de ahorro,Cuentas de ahorro,Asset,E,,Yes,,11,,,,,,,,,,  
112005,Bancos,Bancos,Asset,E,,No,,1120,,,,,,,,,,  
112010,Corporaciones de ahorro y vivienda,Corporaciones de ahorro y vivienda,Asset,E,,No,,1120,,,,,,,,,,  
112015,Organismos cooperativos financieros,Organismos cooperativos financieros,Asset,E,,No,,1120,,,,,,,,,,  
1125,Fondos,Fondos,Asset,E,,Yes,,11,,,,,,,,,,  
112505,Rotatorios moneda nacional,Rotatorios moneda nacional,Asset,E,,No,,1125,,,,,,,,,,  
112510,Rotatorios moneda extranjera,Rotatorios moneda extranjera,Asset,E,,No,,1125,,,,,,,,,,  
112515,Especiales moneda nacional,Especiales moneda nacional,Asset,E,,No,,1125,,,,,,,,,,  
112520,Especiales moneda extranjera,Especiales moneda extranjera,Asset,E,,No,,1125,,,,,,,,,,  
112525,De amortización moneda nacional,De amortización moneda nacional,Asset,E,,No,,1125,,,,,,,,,,  
112530,De amortización moneda extranjera,De amortización moneda extranjera,Asset,E,,No,,1125,,,,,,,,,,  
12,Inversiones,Inversiones,Asset,E,,Yes,,1,,,,,,,,,,  
1205,Acciones,Acciones,Asset,E,,Yes,,12,,,,,,,,,,  
120505,Agricultura, ganadería, caza y silvicultura,Agricultura, ganadería, caza y silvicultura,Asset,E,,No,,1205,,,,,,,,,,  
120510,Pesca,Pesca,Asset,E,,No,,1205,,,,,,,,,,  
120515,Explotación de minas y canteras,Explotación de minas y canteras,Asset,E,,No,,1205,,,,,,,,,,  
120520,Industria manufacturera,Industria manufacturera,Asset,E,,No,,1205,,,,,,,,,,  
120525,Suministro de electricidad, gas y agua,Suministro de electricidad, gas y agua,Asset,E,,No,,1205,,,,,,,,,,  
120530,Construcción,Construcción,Asset,E,,No,,1205,,,,,,,,,,  
120535,Comercio al por mayor y al por menor,Comercio al por mayor y al por menor,Asset,E,,No,,1205,,,,,,,,,,  
120540,Hoteles y restaurantes,Hoteles y restaurantes,Asset,E,,No,,1205,,,,,,,,,,  
120545,Transporte, almacenamiento y comunicaciones,Transporte, almacenamiento y comunicaciones,Asset,E,,No,,1205,,,,,,,,,,  
120550,Actividad financiera,Actividad financiera,Asset,E,,No,,1205,,,,,,,,,,  
120555,Actividades inmobiliarias, empresariales y de alquiler,Actividades inmobiliarias, empresariales y de alquiler,Asset,E,,No,,1205,,,,,,,,,,  
120560,Enseñanza,Enseñanza,Asset,E,,No,,1205,,,,,,,,,,  
120565,Servicios sociales y de salud,Servicios sociales y de salud,Asset,E,,No,,1205,,,,,,,,,,  
120570,Otras actividades de servicios comunitarios, sociales y personales,Otras actividades de servicios comunitarios, sociales y personales,Asset,E,,No,,1205,,,,,,,,,,  
120599,Ajustes por inflación,Ajustes por inflación,Asset,E,,No,,1205,,,,,,,,,,  
1210,Cuotas o partes de interés social,Cuotas o partes de interés social,Asset,E,,Yes,,12,,,,,,,,,,  
121005,Agricultura, ganadería, caza y silvicultura,Agricultura, ganadería, caza y silvicultura,Asset,E,,No,,1210,,,,,,,,,,  
121010,Pesca,Pesca,Asset,E,,No,,1210,,,,,,,,,,  
121015,Explotación de minas y canteras,Explotación de minas y canteras,Asset,E,,No,,1210,,,,,,,,,,  
121020,Industria manufacturera,Industria manufacturera,Asset,E,,No,,1210,,,,,,,,,,  
121025,Suministro de electricidad, gas y agua,Suministro de electricidad, gas y agua,Asset,E,,No,,1210,,,,,,,,,,  
121030,Construcción,Construcción,Asset,E,,No,,1210,,,,,,,,,,  
121035,Comercio al por mayor y al por menor,Comercio al por mayor y al por menor,Asset,E,,No,,1210,,,,,,,,,,  
121040,Hoteles y restaurantes,Hoteles y restaurantes,Asset,E,,No,,1210,,,,,,,,,,  
121045,Transporte, almacenamiento y comunicaciones,Transporte, almacenamiento y comunicaciones,Asset,E,,No,,1210,,,,,,,,,,  
121050,Actividad financiera,Actividad financiera,Asset,E,,No,,1210,,,,,,,,,,  
121055,Actividades inmobiliarias, empresariales y de alquiler,Actividades inmobiliarias, empresariales y de alquiler,Asset,E,,No,,1210,,,,,,,,,,  
121060,Enseñanza,Enseñanza,Asset,E,,No,,1210,,,,,,,,,,  
121065,Servicios sociales y de salud,Servicios sociales y de salud,Asset,E,,No,,1210,,,,,,,,,,  
121070,Otras actividades de servicios comunitarios, sociales y personales,Otras actividades de servicios comunitarios, sociales y personales,Asset,E,,No,,1210,,,,,,,,,,  
121099,Ajustes por inflación,Ajustes por inflación,Asset,E,,No,,1210,,,,,,,,,,  
1215,Bonos,Bonos,Asset,E,,Yes,,12,,,,,,,,,,  
121505,Bonos públicos moneda nacional,Bonos públicos moneda nacional,Asset,E,,No,,1215,,,,,,,,,,  
121510,Bonos públicos moneda extranjera,Bonos públicos moneda extranjera,Asset,E,,No,,1215,,,,,,,,,,  
121515,Bonos ordinarios,Bonos ordinarios,Asset,E,,No,,1215,,,,,,,,,,  
121520,Bonos convertibles en acciones,Bonos convertibles en acciones,Asset,E,,No,,1215,,,,,,,,,,  
121595,Otros,Otros,Asset,E,,No,,1215,,,,,,,,,,  
1220,Cédulas,Cédulas,Asset,E,,Yes,,12,,,,,,,,,,  
