[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],Nivel,Tipo,Cuenta de la subcuenta,Desglose de la subcuenta,C/D de la subcuenta,Ultimo epigrafe,Izquierda(3),Sin signo,Orden,Order parent
A,"Activo","Activo",Asset,B,,Yes,,,1,E,,,B,A,A,A,1,1
A.A,"A) Accionistas ( socios ) por desembolsos no exigidos","A) Accionistas ( socios ) por desembolsos no exigidos",Asset,B,,Yes,,A,2,E,,,B,A.A,A.A,A.A,2,2
190,"Accionistas por desembolsos no exigidos","Accionistas por desembolsos no exigidos",Asset,B,,Yes,,A.A,3,C,,,B,A.A,190,190,3,3
191,"Accionistas por desembolsos no exigidos, empresas del grupo","Accionistas por desembolsos no exigidos, empresas del grupo",Asset,B,,Yes,,A.A,3,C,,,B,A.A,191,191,4,4
192,"Accionistas por desembolsos no exigidos, empresas asociadas","Accionistas por desembolsos no exigidos, empresas asociadas",Asset,B,,Yes,,A.A,3,C,,,B,A.A,192,192,5,5
193,"Accionistas por aportaciones no dineraria pendientes","Accionistas por aportaciones no dineraria pendientes",Asset,B,,Yes,,A.A,3,C,,,B,A.A,193,193,6,6
194,"Accionistas por aportaciones no dinerarias pendientes, empresas del grupo","Accionistas por aportaciones no dinerarias pendientes, empresas del grupo",Asset,B,,Yes,,A.A,3,C,,,B,A.A,194,194,7,7
195,"Accionistas por aportaciones no dinerarias pendientes, empresas asociadas","Accionistas por aportaciones no dinerarias pendientes, empresas asociadas",Asset,B,,Yes,,A.A,3,C,,,B,A.A,195,195,8,8
196,"Socios, parte no desembolsada","Socios, parte no desembolsada",Asset,B,,Yes,,A.A,3,C,,,B,A.A,196,196,9,9
A.B,"B) Inmovilizado","B) Inmovilizado",Asset,B,,Yes,,A,2,E,,,B,A.B,A.B,A.B,10,10
A.B.I,"I. Gastos de establecimiento","I. Gastos de establecimiento",Asset,B,,Yes,,A.B,3,E,,,B,A.B.I,A.B,A.B.I,11,11
200,"Gastos de constitución","Gastos de constitución",Asset,B,,Yes,,A.B.I,4,C,,,B,A.B.I,200,200,12,12
201,"Gastos de primer establecimiento","Gastos de primer establecimiento",Asset,B,,Yes,,A.B.I,4,C,,,B,A.B.I,201,201,13,13
202,"Gastos de ampliación de capital","Gastos de ampliación de capital",Asset,B,,Yes,,A.B.I,4,C,,,B,A.B.I,202,202,14,14
A.B.II,"II. Inmovilizaciones inmateriales","II. Inmovilizaciones inmateriales",Asset,B,,Yes,,A.B,3,E,,,B,A.B.II,A.B,A.B.II,15,15
A.B.II.1,"1. Gastos de investigación y desarrollo","1. Gastos de investigación y desarrollo",Asset,B,,Yes,,A.B.II,4,E,,,B,A.B.II.1,A.B,A.B.II.1,16,16
210,"Gastos de investigación y desarrollo","Gastos de investigación y desarrollo",Asset,B,,Yes,,A.B.II.1,5,C,,,B,A.B.II.1,210,210,17,17
2100,"Gastos de investigación y desarrollo en proyectos no terminados","Gastos de investigación y desarrollo en proyectos no terminados",Asset,B,,Yes,,210,6,B,,,B,A.B.II.1,210,2100,18,18
2101,"Gastos de investigación y desarrollo en proyectos terminados","Gastos de investigación y desarrollo en proyectos terminados",Asset,B,,Yes,,210,6,B,,,B,A.B.II.1,210,2101,19,19
A.B.II.2,"2. Concesiones, patentes, licencias, marcas y similares","2. Concesiones, patentes, licencias, marcas y similares",Asset,B,,Yes,,A.B.II,4,E,,,B,A.B.II.2,A.B,A.B.II.2,20,20
211,"Concesiones administrativas","Concesiones administrativas",Asset,B,,Yes,,A.B.II.2,5,C,,,B,A.B.II.2,211,211,21,21
212,"Propiedad industrial","Propiedad industrial",Asset,B,,Yes,,A.B.II.2,5,C,,,B,A.B.II.2,212,212,22,22
A.B.II.3,"3. Fondo de comercio","3. Fondo de comercio",Asset,B,,Yes,,A.B.II,4,E,,,B,A.B.II.3,A.B,A.B.II.3,23,23
213,"Fondo de comercio","Fondo de comercio",Asset,B,,Yes,,A.B.II.3,5,C,,,B,A.B.II.3,213,213,24,24
A.B.II.4,"4. Derechos de traspaso","4. Derechos de traspaso",Asset,B,,Yes,,A.B.II,4,E,,,B,A.B.II.4,A.B,A.B.II.4,25,25
214,"Derechos de traspaso","Derechos de traspaso",Asset,B,,Yes,,A.B.II.4,5,C,,,B,A.B.II.4,214,214,26,26
A.B.II.5,"5. Aplicaciones informáticas","5. Aplicaciones informáticas",Asset,B,,Yes,,A.B.II,4,E,,,B,A.B.II.5,A.B,A.B.II.5,27,27
215,"Aplicaciones informáticas","Aplicaciones informáticas",Asset,B,,Yes,,A.B.II.5,5,C,,,B,A.B.II.5,215,215,28,28
A.B.II.6,"6. Derechos s/bienes en régimen de arrendamiento financiero","6. Derechos s/bienes en régimen de arrendamiento financiero",Asset,B,,Yes,,A.B.II,4,E,,,B,A.B.II.6,A.B,A.B.II.6,29,29
217,"Derechos sobre bienes en régimen de arrendamiento financiero","Derechos sobre bienes en régimen de arrendamiento financiero",Asset,B,,Yes,,A.B.II.6,5,C,,,B,A.B.II.6,217,217,30,30
A.B.II.7,"7. Anticipos","7. Anticipos",Asset,B,,Yes,,A.B.II,4,E,,,B,A.B.II.7,A.B,A.B.II.7,31,31
219,"Anticipos para inmovilizaciones inmateriales","Anticipos para inmovilizaciones inmateriales",Asset,B,,Yes,,A.B.II.7,5,C,,,B,A.B.II.7,219,219,32,32
A.B.II.8,"8. Provisiones","8. Provisiones",Asset,B,,Yes,,A.B.II,4,E,,,B,A.B.II.8,A.B,A.B.II.8,33,33
291,"Provisión por depreciación del inmovilizado inmaterial","Provisión por depreciación del inmovilizado inmaterial",Asset,B,,Yes,,A.B.II.8,5,C,,,B,A.B.II.8,291,291,34,34
A.B.II.9,"9. Amortizaciones","9. Amortizaciones",Asset,B,,Yes,,A.B.II,4,E,,,B,A.B.II.9,A.B,A.B.II.9,35,35
281,"Amortización acumulada del inmovilizado inmaterial","Amortización acumulada del inmovilizado inmaterial",Asset,B,,Yes,,A.B.II.9,5,C,,,B,A.B.II.9,281,281,36,36
2810,"Amortización acumulada de gastos de investigación y desarrollo","Amortización acumulada de gastos de investigación y desarrollo",Asset,B,,Yes,,281,6,B,,,B,A.B.II.9,281,2810,37,37
2811,"Amortización acumulada de concesiones administrativas","Amortización acumulada de concesiones administrativas",Asset,B,,Yes,,281,6,B,,,B,A.B.II.9,281,2811,38,38
2812,"Amortización acumulada de propiedad industrial","Amortización acumulada de propiedad industrial",Asset,B,,Yes,,281,6,B,,,B,A.B.II.9,281,2812,39,39
2813,"Amortización acumulada de fondo de comercio","Amortización acumulada de fondo de comercio",Asset,B,,Yes,,281,6,B,,,B,A.B.II.9,281,2813,40,40
2814,"Amortización acumulada de derechos de traspaso","Amortización acumulada de derechos de traspaso",Asset,B,,Yes,,281,6,B,,,B,A.B.II.9,281,2814,41,41
2815,"Amortización acumulada de aplicaciones informáticas","Amortización acumulada de aplicaciones informáticas",Asset,B,,Yes,,281,6,B,,,B,A.B.II.9,281,2815,42,42
2817,"Amortización acumulada de derechos sobre bienes en régimen de arrendamiento financiero","Amortización acumulada de derechos sobre bienes en régimen de arrendamiento financiero",Asset,B,,Yes,,281,6,B,,,B,A.B.II.9,281,2817,43,43
A.B.III,"III. Inmovilizaciones materiales","III. Inmovilizaciones materiales",Asset,B,,Yes,,A.B,3,E,,,B,A.B.III,A.B,A.B.III,44,44
A.B.III.1,"1. Terrenos y construcciones","1. Terrenos y construcciones",Asset,B,,Yes,,A.B.III,4,E,,,B,A.B.III.1,A.B,A.B.III.1,45,45
220,"Terrenos y bienes naturales","Terrenos y bienes naturales",Asset,B,,Yes,,A.B.III.1,5,C,,,B,A.B.III.1,220,220,46,46
221,"Construcciones","Construcciones",Asset,B,,Yes,,A.B.III.1,5,C,,,B,A.B.III.1,221,221,47,47
A.B.III.2,"2. Instalaciones técnicas y maquinaria","2. Instalaciones técnicas y maquinaria",Asset,B,,Yes,,A.B.III,4,E,,,B,A.B.III.2,A.B,A.B.III.2,48,48
222,"Instalaciones técnicas","Instalaciones técnicas",Asset,B,,Yes,,A.B.III.2,5,C,,,B,A.B.III.2,222,222,49,49
223,"Maquinaria","Maquinaria",Asset,B,,Yes,,A.B.III.2,5,C,,,B,A.B.III.2,223,223,50,50
A.B.III.3,"3. Otras instalaciones, utillaje y mobiliario","3. Otras instalaciones, utillaje y mobiliario",Asset,B,,Yes,,A.B.III,4,E,,,B,A.B.III.3,A.B,A.B.III.3,51,51
224,"Utillaje","Utillaje",Asset,B,,Yes,,A.B.III.3,5,C,,,B,A.B.III.3,224,224,52,52
225,"Otras instalaciones","Otras instalaciones",Asset,B,,Yes,,A.B.III.3,5,C,,,B,A.B.III.3,225,225,53,53
226,"Mobiliario","Mobiliario",Asset,B,,Yes,,A.B.III.3,5,C,,,B,A.B.III.3,226,226,54,54
A.B.III.4,"4. Anticipos e inmovilizaciones materiales en curso","4. Anticipos e inmovilizaciones materiales en curso",Asset,B,,Yes,,A.B.III,4,E,,,B,A.B.III.4,A.B,A.B.III.4,55,55
230,"Adaptación de terrenos y de bienes naturales","Adaptación de terrenos y de bienes naturales",Asset,B,,Yes,,A.B.III.4,5,C,,,B,A.B.III.4,230,230,56,56
231,"Construcciones en curso","Construcciones en curso",Asset,B,,Yes,,A.B.III.4,5,C,,,B,A.B.III.4,231,231,57,57
232,"Instalaciones técnicas en montaje","Instalaciones técnicas en montaje",Asset,B,,Yes,,A.B.III.4,5,C,,,B,A.B.III.4,232,232,58,58
233,"Maquinaria en montaje","Maquinaria en montaje",Asset,B,,Yes,,A.B.III.4,5,C,,,B,A.B.III.4,233,233,59,59
237,"Equipos para procesos de información en montaje","Equipos para procesos de información en montaje",Asset,B,,Yes,,A.B.III.4,5,C,,,B,A.B.III.4,237,237,60,60
239,"Anticipos para inmovilizaciones materiales","Anticipos para inmovilizaciones materiales",Asset,B,,Yes,,A.B.III.4,5,C,,,B,A.B.III.4,239,239,61,61
A.B.III.5,"5. Otro inmovilizado","5. Otro inmovilizado",Asset,B,,Yes,,A.B.III,4,E,,,B,A.B.III.5,A.B,A.B.III.5,62,62
227,"Equipos para procesos de información","Equipos para procesos de información",Asset,B,,Yes,,A.B.III.5,5,C,,,B,A.B.III.5,227,227,63,63
