"[Account_Value]","[Account_Name]","[Account_Description]","[Account_Type]","[Account_Sign]","[Account_Document]","[Account_Summary]","[Default_Account]","[Account_Parent]"
1,"Contas de meios circulantes financeiros","Contas de meios circulantes financeiros","Asset","Natural","Yes","Yes",,
11,"Caixa","Caixa","Asset","Natural","Yes","Yes",,1
12,"Bancos","Bancos","Asset","Natural","Yes","Yes",,1
121,"Depósitos a ordem","Depósitos a ordem","Asset","Natural","Yes","No",,12
122,"Depósitos com pré-aviso","Depósitos com pré-aviso","Asset","Natural","Yes","No",,12
123,"Depósitos a prazo","Depósitos a prazo","Asset","Natural","Yes","No",,12
13,"Clientes","Clientes","Asset","Natural","Yes","Yes",,1
131,"Clientes c/c","Clientes c/c","Asset","Natural","Yes","No",,13
132,"Clientes – Títulos a receber","Clientes – Títulos a receber","Asset","Natural","Yes","No",,13
138,"Clientes de cobrança duvidosa","Clientes de cobrança duvidosa","Asset","Natural","Yes","No",,13
139,"Adiantamentos de clientes","Adiantamentos de clientes","Asset","Natural","Yes","No",,13
14,"Devedor - Estado","Devedor - Estado","Asset","Natural","Yes","Yes",,1
141,"Imposto sobre o rendimento","Imposto sobre o rendimento","Asset","Natural","Yes","No",,14
1411,"Retenções na fonte","Retenções na fonte","Asset","Natural","Yes","No",,141
14111,"Segunda categoria","Segunda categoria","Asset","Natural","Yes","No",,1411
14112,"Terceira categoria","Terceira categoria","Asset","Natural","Yes","No",,1411
14113,"Quarta categoria","Quarta categoria","Asset","Natural","Yes","No",,1411
14114,"Quinta categoria","Quinta categoria","Asset","Natural","Yes","No",,1411
1412,"Pagamentos por conta e especial por conta","Pagamentos por conta e especial por conta","Asset","Natural","Yes","No",,141
14121,"Pagamento por conta","Pagamento por conta","Asset","Natural","Yes","No",,1412
14122,"Pagamento especial por conta","Pagamento especial por conta","Asset","Natural","Yes","No",,1412
1413,"A recuperar","A recuperar","Asset","Natural","Yes","No",,141
1414,"Reembolsos pedidos","Reembolsos pedidos","Asset","Natural","Yes","No",,141
143,"IVA suportado","IVA suportado","Asset","Natural","Yes","No",,14
1431,"Meios circulantes materiais","Meios circulantes materiais","Asset","Natural","Yes","No",,143
1432,"Meios imobilizados","Meios imobilizados","Asset","Natural","Yes","No",,143
1433,"Outros bens e serviços","Outros bens e serviços","Asset","Natural","Yes","No",,143
144,"IVA dedutível","IVA dedutível","Asset","Natural","Yes","No",,14
1441,"Meios circulantes materiais","Meios circulantes materiais","Asset","Natural","Yes","No",,144
1442,"Meios imobilizados","Meios imobilizados","Asset","Natural","Yes","No",,144
1443,"Outros bens e serviços","Outros bens e serviços","Asset","Natural","Yes","No",,144
145,"IVA regularizações","IVA regularizações","Asset","Natural","Yes","No",,14
