"[Account_Value]","[Account_Name]","[Account_Description]","[Account_Type]","[Account_Sign]","[Account_Document]","[Account_Summary]","[Default_Account]","[Account_Parent]","[Balance Sheet]","[Balance Sheet_Name]","[US 1120 Balance Sheet]","US 1120 Balance Sheet_Name","[Profit & Loss]","[Profit & Loss_Name]","[US 1120 Income Statement]","[US 1120 Income Statement_Name]","[Cash Flow]","[Cash Flow_Name]"
1,"Activa",,"Asset",,,"Yes",,,1,"Assets",15,"Total Assets",,,,,,
11,"Immateriele Activa",,"Asset",,,"Yes",,1,,,,,,,,,,
111,"Immateriele Activa",,"Asset",,,"Yes",,11,,,,,,,,,,
111110,"Licenties / Octrooien",,"Asset",,,"No",,111,,,"13a","Intangible Assets",,,,,,
111120,"Goodwill",,"Asset",,,"No",,111,,,"13a",,,,,,,
111130,"Handelsfonds",,"Asset",,,"No",,111,,,"13a",,,,,,,
111140,"Overige immateriele activa",,"Asset",,,"No",,111,,,"13a",,,,,,,
111150,"Cummulatieve afschrijving",,"Asset",,"Yes","No","A_ACCUMDEPRECIATION_ACCT",111,,,"13b","Less accumulated amortization",,,,,,
111160,"Levensverzekeringen",,"Asset",,,"No",,111,,,14,"Other Assets",,,,,,
111190,"Overige activa",,"Asset",,,"No",,111,,,14,,,,,,,
12,"Materiele Vaste Activa",,"Asset",,,"Yes",,1,"15_","Total Current Assets",,,,,,,,
121,"Grond en Gebouwen",,"Asset",,,"Yes",,12,121,"Land and Building",,,,,,,,
1210,"Grond",,"Asset",,,"Yes",,121,,,,,,,,,,
121010,"Grond",,"Asset",,,"No",,1210,,,12,"Land",,,,,,
1211,"Gebouwen",,"Asset",,,"Yes",,121,,,,,,,,,,
121110,"Gebouwen",,"Asset",,,"No",,1211,,,"10a","Buildings and other depreciable assets",,,,,,
1212,"Terreinaanpassingen",,"Asset",,,"Yes",,121,,,,,,,,,,
121210,"Terreinaanpassingen",,"Asset",,,"No",,1212,,,"10a",,,,,,,
1213,"Gebouwaanpassingen",,"Asset",,,"Yes",,121,,,,,,,,,,
121310,"Gebouwaanpassingen",,"Asset",,,"No",,1213,,,"10a",,,,,,,
1214,"Aanpassingen aan geleaste activa",,"Asset",,,"Yes",,121,,,,,,,,,,
121410,"Aanpassingen aan geleaste activa",,"Asset",,,"No",,1214,,,"10a",,,,,,,
122,"Inventaris en Machines",,"Asset",,,"Yes",,12,17,"Furniture, Fixtures & Equipment","10a",,,,,,,
1220,"Inventaris",,"Asset",,,"Yes",,122,,,,,,,,,,
122010,"Inventaris",,"Asset",,,"No",,1220,,,,,,,,,,
1221,"Installaties",,"Asset",,,"Yes",,122,,,,,,,,,,
122110,"Installaties",,"Asset",,,"No",,1221,,,,,,,,,,
1222,"Machines",,"Asset",,,"Yes",,122,,,,,,,,,,
122210,"Machines",,"Asset",,,"No",,1222,,,,,,,,,,
1223,"Transport en vervoermiddelen",,"Asset",,,"Yes",,122,,,,,,,,,,
122310,"Transport en vervoermiddelen",,"Asset",,,"No",,1223,,,,,,,,,,
1224,"ICT Hardware",,"Asset",,,"Yes",,122,,,,,,,,,,
122410,"ICT Hardware",,"Asset",,,"No",,1224,,,,,,,,,,
1225,"ICT Software",,"Asset",,,"Yes",,122,,,,,,,,,,
122510,"ICT Software",,"Asset",,,"No",,1225,,,,,,,,,,
123,"Activa eigen productie",,"Asset",,,"Yes",,12,,,"10a",,,,,,,
1230,"Activa",,"Asset",,,"Yes",,123,,,,,,,,,,
12301,"Activa eigen productie gereed",,"Asset",,,"Yes",,1230,,,,,,,,,,
123010,"Activa  eigen productie gereed","Created Asset","Asset",,"Yes","No","PJ_ASSET_ACCT",12301,,,,,,,,,,
12302,"Activa eigen productie in bewerking",,"Asset",,,"Yes",,1230,,,,,,,,,,
123020,"Activa eigen productie in bewerking","Asset Work in Progress","Asset",,"Yes","No","PJ_WIP_ACCT",12302,,,,,,,,,,
13,"Financiele vaste activa",,"Asset",,,"Yes",,1,13,"Investments",,,,,,,,
131,"Groepsmaatschappijen",,"Asset",,,"Yes",,13,,,,,,,,,,
131010,"Groepsmaatschappij 1",,"Asset",,,"No",,131,,,4,"US Government Obligations",,,,,,
132,"Deelnemingen",,"Asset",,,"Yes",,13,,,,,,,,,,
132010,"Aandeel in <naam onderneming>",,"Asset",,,"No",,132,,,5,"Tax-Exempt Securities",,,,,,
133,"Effecten",,"Asset",,,"Yes",,13,,,,,,,,,,
133010,"Overige langlopende effecten",,"Asset",,,"No",,133,,,9,"Other Investments",,,,,,
134,"Deposito's",,"Asset",,,"Yes",,13,,,,,,,,,,
134010,"Deposito's",,"Asset",,,"No",,133,,,,,,,,,,
14,"Voorraden",,"Asset",,,"Yes",,1,14,"Inventory",3,"Inventories",,,,,,
141010,"Grondstoffen",,"Asset",,,"Yes",,14,,,,,,,,,,
141020,"Halffabrikaten",,"Asset",,,"Yes",,14,,,,,,,,,,
141030,"Gereed product",,"Asset",,,"Yes",,14,,,,,,,,,,
141040,"Handelsvoorraad","Inventory Account","Asset",,"Yes","No","W_INVENTORY_ACCT",14,,,,,,,,,,
141050,"Consignatie goederen","Product Inventory Account","Asset",,"Yes","No","P_ASSET_ACCT",14,,,,,,,,,,
141060,"Overige",,"Asset",,,"No",,14,,,,,,,,,,
15,"Kortlopende vorderingen",,"Asset",,,"Yes",,1,12,"Accounts Receivable",,,,,,,,
151,"Intercompany",,"Asset",,,"Yes",,15,,,,,,,,,,
1510,"Binnen consolidatie",,"Asset",,,"Yes",,151,,,,,,,,,,
151010,"Groepsmaatschappij <naam>",,"Asset",,,"No",,1510,,,,,,,,,,
1511,"Buiten consolidatie",,"Asset",,,"Yes",,151,,,,,,,,,,
151110,"Groepsmaatschappij <naam>",,"Asset",,,"No",,1511,,,,,,,,,,
152,"Handelsvorderingen",,"Asset",,,"Yes",,15,,,,,,,,,,
152110,"Debiteuren","Accounts Receivables","Asset",,"Yes","No","C_RECEIVABLE_ACCT",152,,,"2a","Trade nodes and accounts receivables",,,,,,
152120,"Openstaande niet gehonoreerde cheques",,"Asset",,,"No",,152,,,"2a",,,,,,,
152130,"Voorziening dubieuze debiteuren",,"Asset",,,"No",,152,,,"2b","Less allowances for bad debts",,,,,,
152140,"Nog te factureren afleveringen","We delivered but have not invoiced yet","Asset",,"Yes","No","NOTINVOICEDRECEIVABLES_ACCT",152,,,"2a",,,,,,,
153,"Belastingen",,"Asset",,,"Yes",,15,,,,,,,,,,
1530,"BTW Inkoop",,"Asset",,,"Yes",,153,,,,,,,,,,
153010,"BTW Inkoop 0 %",,"Asset",,,"No",,1530,,,,,,,,,,
153015,"BTW Inkoop Verlegd",,"Asset",,,"No",,1530,,,,,,,,,,
153020,"BTW Inkoop Laag",,"Asset",,,"No",,1530,,,6,,,,,,,
153025,"BTW Inkoop Hoog","Tax to be re-imbursed - before tax declaration","Asset",,"Yes","No","T_CREDIT_ACCT",1530,,,6,,,,,,,
153030,"BTW Inkoop vlg aanslag","Tax to receive based on tax declaration","Asset",,"Yes","No","T_RECEIVABLES_ACCT",1530,,,6,,,,,,,
153035,"BTW Inkoop op Betalingskortingen",,"Asset",,,"No",,1530,,,,,,,,,,
153040,"BTW Inkoop EU",,"Asset",,,"No",,1530,,,,,,,,,,
153045,"BTW Inkoop Non-EU",,"Asset",,,"No",,1530,,,,,,,,,,
153050,"BTW Inkoop Installatie/Afstand",,"Asset",,,"No",,1530,,,,,,,,,,
153055,"BTW Inkoop overige",,"Asset",,,"No",,1530,,,,,,,,,,
153060,"BTW Inkoop Interco","Default Receivables account for intercompany trx","Asset",,"Yes","No","INTERCOMPANYDUEFROM_ACCT",1530,,,6,,,,,,,
153065,"Ontvangen BTW Inkoop",,"Asset",,,"No",,1530,,,,,,,,,,
154,"Betalingen Onderweg Credit Card",,"Asset",,,"Yes",,15,,,,,,,,,,
154110,"BO Amex",,"Asset",,,"No",,154,,,"2a",,,,,,,
154120,"BO Master Card",,"Asset",,,"No",,154,,,"2a",,,,,,,
154130,"BO Visa",,"Asset",,,"No",,154,,,"2a",,,,,,,
154140,"BO ATM Cards",,"Asset",,,"No",,154,,,"2a",,,,,,,
154150,"BO Voorziening dubieuze debiteuren",,"Asset",,,"No",,154,,,"2b",,,,,,,
155,"Leningen u/g",,"Asset",,,"Yes",,15,,,,,,,,,,
155110,"Leningen u/g personeel",,"Asset",,,"No",,155,,,"2a",,,,,,,
155120,"Leningen u/g participanten",,"Asset",,,"No",,155,,,7,"Loans to Shareholders",,,,,,
155190,"Leningen u/g overige",,"Asset",,,"No",,155,,,"2a",,,,,,,
156,"Waarborgsommen",,"Asset",,,"Yes",,15,,,,,,,,,,
156110,"Waarborgsommen huur",,"Asset",,,"No",,156,,,,,,,,,,
156120,"Waarborgsommen servicekosten",,"Asset",,,"No",,156,,,,,,,,,,
156130,"Waarborgsommen overige",,"Asset",,,"No",,156,,,,,,,,,,
157,"Overige vlottende activa",,"Asset",,,"Yes",,15,,,,,,,,,,
157110,"Overige vlottende activa",,"Asset",,,"No",,157,,,,,,,,,,
16,"Liquide middelen",,"Asset",,,"Yes",,1,11,"Cash",1,"Cash",,,,,,
161,"Bank",,"Asset",,,"Yes",,16,,,,,,,,,,
161010,"Bank","Bank Asset","Asset",,"Yes","No","B_ASSET_ACCT",161,,,,,,,,,,
161020,"Bank 2",,"Asset",,,"No",,161,,,,,,,,,,
161030,"Spaarrekening",,"Asset",,,"No",,161,,,,,,,,,,
161040,"Kruisposten Bank","Bank transactions in transit","Asset",,"Yes","No","B_INTRANSIT_ACCT",161,,,,,,,,,,
161050,"TR Onbekende Betalingen","Receipts from unidentified customer","Asset",,"Yes","No","B_UNIDENTIFIED_ACCT",161,,,,,,,,,,
161060,"TR Niet gealloceerde betalingen","Received, unallocated payments","Asset",,"Yes","No","B_UNALLOCATEDCASH_ACCT",161,,,,,,,,,,
162,"Kas",,"Asset",,,"Yes",,16,,,,,,,,,,
162110,"Kas 1","Cash Book Asset","Asset",,"Yes","No","CB_ASSET_ACCT",162,,,,,,,,,,
162120,"Kruisposten Kas","Cash Book Transfer","Asset",,"Yes","No","CB_CASHTRANSFER_ACCT",162,,,,,,,,,,
17,"Vooruitbetalingen",,"Asset",,,"Yes",,1,,,,,,,,,,
171,"Vooruitbetaalde kosten",,"Asset",,,"Yes",,17,,,,,,,,,,
171010,"Vooruitbetaalde inkoop","Prepayments for future expense","Asset",,"Yes","No","V_PREPAYMENT_ACCT",171,,,"2a",,,,,,,
171110,"Vooruitbetaalde personeel","Expense advances","Asset",,"Yes","No","E_PREPAYMENT_ACCT",171,,,"2a",,,,,,,
171210,"Vooruitbetaalde Verzekeringen",,"Asset",,,"No",,171,,,,,,,,,,
171220,"Vooruitbetaalde Huur",,"Asset",,,"No",,171,,,,,,,,,,
171230,"Vooruitbetaalde Interest",,"Asset",,,"No",,171,,,,,,,,,,
171240,"Vooruitbetaalde Overige",,"Asset",,,"No",,171,,,,,,,,,,
2,"Passiva",,"Liability",,,"Yes",,,2,"Liabilities",,,,,,,,
21,"Garantievermogen",,"Owner's Equity",,,"Yes",,2,3,"Owner's Equity/Net Worth",,,,,,,,
211,"Aandelenkapitaal",,"Owner's Equity",,,"Yes",,21,31,"Capital",,,,,,,,
211010,"Aandelenkapitaal",,"Owner's Equity",,,"No",,211,,,"22b","Capital Stock Preferred",,,,,,
211020,"Agioreserve ",,"Owner's Equity",,,"No",,211,,,23,"Additional Paid-in Capital",,,,,,
211030,"Preferent aandelenkapitaal",,"Owner's Equity",,,"No",,211,,,"22a","Capital Stock Common",,,,,,
211040,"Agio op preferent aandelenkapitaal",,"Owner's Equity",,,"No",,211,,,23,,,,,,,
212,"Reserves",,"Owner's Equity",,,"Yes",,21,32,"Current Profit & Loss",25,"Retained Earnings",,,,,,
212010,"Wettelijke Reserve",,"Owner's Equity",,,"No",,212,,,,,,,,,,
212020,"Dividend",,"Owner's Equity",,,"No",,212,,,,,,,,,,
212030,"Interim dividend",,"Owner's Equity",,,"No",,212,,,,,,,,,,
212040,"Ingehouden winst","Year end processing to balance account (Income Summary)","Owner's Equity",,"Yes","No","RETAINEDEARNING_ACCT",212,,,,,,,,,,
22,"Verplichtingen op lange termijn",,"Liability",,,"Yes",,2,24,"Long Term Liabilities",,,,,,,,
221,"Voorzieningen",,"Liability",,,"Yes",,22,,,,,,,,,,
221010,"Voorzieningen groot onderhoud",,"Liability",,,"No",,221,,,,,,,,,,
221020,"Voorzieningen assurantie E/R",,"Liability",,,"No",,221,,,,,,,,,,
221030,"Voorzieningen pensioenpremie",,"Liability",,,"No",,221,,,,,,,,,,
222,"Vreemd vermogen lang",,"Liability",,,"Yes",,22,,,,,,,,,,
2221,"Intercompany",,"Liability",,,"Yes",,222,,,,,,,,,,
22210,"Binnen consolidatie",,"Liability",,,"Yes",,2221,,,,,,,,,,
22211,"Buiten consolidatie",,"Liability",,,"Yes",,2221,,,,,,,,,,
2222,"Extern",,"Liability",,,"Yes",,222,,,,,,,,,,
222210,"Leningen o/g lange termijn",,"Liability",,,"No",,2222,,,20,"Mortgages, notes, bonds payable in 1 year or more",,,,,,
222220,"Hypotheek",,"Liability",,,"No",,2222,,,8,"Mortgage and real estate loan",,,,,,
222230,"Leningen van participanten",,"Liability",,,"No",,2222,,,19,"Loans from Shareholder",,,,,,
222280,"Overige lange termijn verplichtingen",,"Liability",,,"No",,2222,,,21,"Other Liabilities",,,,,,
222290,"DO deel Leningen o/g lange termijn",,"Liability",,,"No",,2222,,,20,,,,,,,
23,"Vreemd Vermogen Kort",,"Liability",,,"Yes",,2,21,"Accounts Payable",,,,,,,,
2311,"Intercompany",,"Liability",,,"Yes",,23,,,,,,,,,,
23111,"Binnen consolidatie",,"Liability",,,"Yes",,2311,,,,,,,,,,
231110,"Groepsmaatschappij <naam>",,"Liability",,,"Yes",,23111,,,,,,,,,,
23112,"Buiten consolidatie",,"Liability",,,"Yes",,2311,,,,,,,,,,
