"[Account_Value]","[Account_Name]","[Account_Description]","[Account_Type]","[Account_Sign]","[Account_Document]","[Account_Summary]","[Default_Account]","[Account_Parent]"
1,"Classe 1 - Disponibilidades","Classe 1 - Disponibilidades","Asset","Natural","Yes","Yes",,
11,"Caixa","Caixa","Asset","Natural","Yes","Yes",,1
111,"Caixa A","Caixa A","Asset","Natural","Yes","No",,11
112,"Caixa B","Caixa B","Asset","Natural","Yes","No",,11
119,"Transferências de caixa","Transferências de caixa","Asset","Natural","Yes","No",,11
12,"Depósitos à ordem","Depósitos à ordem","Asset","Natural","Yes","Yes",,1
13,"Depósitos a prazo","Depósitos a prazo","Asset","Natural","Yes","Yes",,1
14,"Outros depósitos bancários","Outros depósitos bancários","Asset","Natural","Yes","Yes",,1
15,"Títulos negociáveis","Títulos negociáveis","Asset","Natural","Yes","Yes",,1
151,"Acções","Acções","Asset","Natural","Yes","No",,15
1511,"Empresas do grupo","Empresas do grupo","Asset","Natural","Yes","No",,151
1512,"Empresas associadas","Empresas associadas","Asset","Natural","Yes","No",,151
1513,"Outras empresas","Outras empresas","Asset","Natural","Yes","No",,151
152,"Obrigações e títulos de participação","Obrigações e títulos de participação","Asset","Natural","Yes","No",,15
1521,"Empresas do grupo","Empresas do grupo","Asset","Natural","Yes","No",,152
1522,"Empresas associadas","Empresas associadas","Asset","Natural","Yes","No",,152
1523,"Outras empresas","Outras empresas","Asset","Natural","Yes","No",,152
153,"Títulos da dívida pública","títulos da dívida pública","Asset","Natural","Yes","No",,15
158,"Instrumentos derivados","Instrumentos derivados","Asset","Natural","Yes","No",,15
1581,"Margens em contratos de futuro","Margens em contratos de futuro","Asset","Natural","Yes","No",,158
15811,"Em moeda nacional","Em moeda nacional","Asset","Natural","Yes","No",,1581
15812,"Em moeda estrangeira","Em moeda estrangeira","Asset","Natural","Yes","No",,1581
15813,"Em títulos","Em títulos","Asset","Natural","Yes","No",,1581
15818,".....",".....","Asset","Natural","No","No",,1581
159,"Outros títulos","Outros títulos","Asset","Natural","Yes","No",,15
18,"Outras aplicações de tesouraria","Outras aplicações de tesouraria","Asset","Natural","Yes","Yes",,1
19,"Ajustamentos de aplicações de tesouraria","Ajustamentos de aplicações de tesouraria","Asset","Natural","Yes","Yes",,1
195,"Títulos negociáveis","Títulos negociáveis","Asset","Natural","Yes","No",,19
1951,"Acções","Acções","Asset","Natural","Yes","No",,195
1952,"Obrigações e títulos de participação","Obrigações e títulos de participação","Asset","Natural","Yes","No",,195
1953,"Títulos da dívida pública","Títulos da dívida pública","Asset","Natural","Yes","No",,195
1958,"Instrumentos derivados","Instrumentos derivados","Asset","Natural","Yes","No",,195
19581,"Margens em contrato de futuros","Margens em contrato de futuros","Asset","Natural","Yes","No",,1958
1959,"Outros títulos","Outros títulos","Asset","Natural","Yes","No",,195
198,"Outras aplicações de tesouraria","Outras aplicações de tesouraria","Asset","Natural","Yes","No",,19
2,"Classe 2 - Terceiros","Classe 2 - Terceiros","Asset","Natural","Yes","Yes",,
21,"Clientes","Clientes","Asset","Natural","Yes","Yes",,2
211,"Clientes c/c","Clientes c/c","Asset","Natural","Yes","No",,21
212,"Clientes - títulos a receber","Clientes - títulos a receber","Asset","Natural","Yes","No",,21
218,"Clientes de cobrança duvidosa","Clientes de cobrança duvidosa","Asset","Natural","Yes","No",,21
219,"Adiantamentos de clientes","Adiantamentos de clientes","Asset","Natural","Yes","No",,21
22,"Fornecedores","Fornecedores","Asset","Natural","Yes","Yes",,2
221,"Fornecedores c/c","Fornecedores c/c","Asset","Natural","Yes","No",,22
222,"Fornecedores - títulos a pagar","Fornecedores - títulos a pagar","Asset","Natural","Yes","No",,22
228,"Fornecedores - Facturas em recepção e conferência","Fornecedores - Facturas em recepção e conferência","Asset","Natural","Yes","No",,22
229,"Adiantamentos a fornecedores","Adiantamentos a fornecedores","Asset","Natural","Yes","No",,22
23,"Empréstimos obtidos","Empréstimos obtidos","Asset","Natural","Yes","Yes",,2
231,"Empréstimos bancários","Empréstimos bancários","Asset","Natural","Yes","No",,23
232,"Empréstimos por obrigações","Empréstimos por obrigações","Asset","Natural","Yes","No",,23
2321,"Convertíveis","Convertíveis","Asset","Natural","Yes","No",,232
2322,"Não convertíveis","Não convertíveis","Asset","Natural","Yes","No",,232
233,"Empréstimos por títulos de participação","Empréstimos por títulos de participação","Asset","Natural","Yes","No",,23
239,"Outros empréstimos obtidos","Outros empréstimos obtidos","Asset","Natural","Yes","No",,23
24,"Estado e outros entes públicos","Estado e outros entes públicos","Asset","Natural","Yes","Yes",,2
241,"Imposto sobre o rendimento","Imposto sobre o rendimento","Asset","Natural","Yes","No",,24
242,"Retenção de impostos sobre rendimentos","Retenção de impostos sobre rendimentos","Asset","Natural","Yes","No",,24
2421,"Trabalho dependente","Trabalho dependente","Asset","Natural","Yes","No",,242
2422,"Trabalho independente","Trabalho independente","Asset","Natural","Yes","No",,242
2423,"Capitais","Capitais","Asset","Natural","Yes","No",,242
2424,"Prediais","Prediais","Asset","Natural","Yes","No",,242
2429,"Sobre outros rendimentos","Sobre outros rendimentos","Asset","Natural","Yes","No",,242
