[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],US 1120 Balance Sheet_Name,[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
A,ACTIV,ACTIV,Asset,B,,Yes,,,1,E,,,B,A,A,A,1,1
A.A.04,ACTIVE IMOBILIZATE,ACTIVE IMOBILIZATE,Asset,B,,Yes,,A,2,E,,,B,A.A.04,A.A,A.A.04,2,2
A.A.I.01,IMOBILIZARI NECORPORALE,IMOBILIZARI NECORPORALE,Asset,B,,Yes,,A.A.04,3,E,,,B,A.A.I.01,A.A,A.A.I.01,3,3
201,CHELT.DE CONSTITUIRE,CHELT.DE CONSTITUIRE,Asset,B,,Yes,,A.A.I.01,4,C,,,B,A.A.I.01,201,201,4,4
203,CHELT.DE DEZVOLTARE,CHELT.DE DEZVOLTARE,Asset,B,,Yes,,A.A.I.01,4,C,,,B,A.A.I.01,203,203,5,5
205,CONCESIUNI  BREVETE  LICENTE  MARCI COMERCIALE  DREPTURI SI ,CONCESIUNI  BREVETE  LICENTE  MARCI COMERCIALE  DREPTURI SI ACTIVE SIMILARE,Asset,B,,Yes,,A.A.I.01,4,C,,,B,A.A.I.01,205,205,6,6
207,FOND COMERCIAL ,FOND COMERCIAL ,Asset,B,,Yes,,A.A.I.01,4,C,,,B,A.A.I.01,207,207,7,7
2071,FOND COMERCIAL POZITIV,FOND COMERCIAL POZITIV,Asset,B,,Yes,,207,5,B,,,B,A.A.I.01,207,2071,8,8
208,ALTE IMOBILIZARI NECORPORALE,ALTE IMOBILIZARI NECORPORALE,Asset,B,,Yes,,A.A.I.01,4,C,,,B,A.A.I.01,208,208,9,9
233,IMOBILIZARI NECORPORALE IN CURS DE EXECUTIE,IMOBILIZARI NECORPORALE IN CURS DE EXECUTIE,Asset,B,,Yes,,A.A.I.01,4,C,,,B,A.A.I.01,233,233,10,10
234,AVANSURI ACORDATE PT.IMOBILIZARI NECORPORALE,AVANSURI ACORDATE PT.IMOBILIZARI NECORPORALE,Asset,B,,Yes,,A.A.I.01,4,C,,,B,A.A.I.01,234,234,11,11
280,AMORTIZ.PRIVIND IMOBILIZARILE NECORPORALE ,AMORTIZ.PRIVIND IMOBILIZARILE NECORPORALE ,Asset,B,,Yes,,A.A.I.01,4,C,,,B,A.A.I.01,280,280,12,12
2801,AMORTIZ.CHELT.DE CONSTITUIRE,AMORTIZ.CHELT.DE CONSTITUIRE,Asset,B,,Yes,,280,5,B,,,B,A.A.I.01,280,2801,13,13
2803,AMORTIZ.CHELT.DE DEZVOLTARE,AMORTIZ.CHELT.DE DEZVOLTARE,Asset,B,,Yes,,280,5,B,,,B,A.A.I.01,280,2803,14,14
2805,AMORTIZ.CONCESIUNILOR  BREVETELOR  LICENTELOR  MARCILOR COME,AMORTIZ.CONCESIUNILOR  BREVETELOR  LICENTELOR  MARCILOR COMERCIALE  DREPTURILOR SI ACTIVELOR SIMILARE,Asset,B,,Yes,,280,5,B,,,B,A.A.I.01,280,2805,15,15
2807,AMORTIZ.FONDULUI COMERCIAL (CONS),AMORTIZ.FONDULUI COMERCIAL (CONS),Asset,B,,Yes,,280,5,B,,,B,A.A.I.01,280,2807,16,16
2808,AMORTIZ.ALTOR IMOBILIZARI NECORPORALE,AMORTIZ.ALTOR IMOBILIZARI NECORPORALE,Asset,B,,Yes,,280,5,B,,,B,A.A.I.01,280,2808,17,17
290,AJUST.PT.DEPREC.IMOBILIZ.NECORPORALE ,AJUST.PT.DEPREC.IMOBILIZ.NECORPORALE ,Asset,B,,Yes,,A.A.I.01,4,C,,,B,A.A.I.01,290,290,18,18
