[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent]
1,Assets,,Asset,,,Yes,,
11,Current Assets,,Asset,,,Yes,,1
111,Cash,,Asset,,,Yes,,11
11110,Checking Account,Bank Asset,Asset,,Yes,No,B_ASSET_ACCT,111
11111,Checking In-Transfer,Bank transactions in transit,Asset,,Yes,No,B_INTRANSIT_ACCT,111
11112,Checking Unidentified Receipts,Receipts from unidentified customer,Asset,,Yes,No,B_UNIDENTIFIED_ACCT,111
11113,Checking Unallocated Receipts,"Received, unallocated payments",Asset,,Yes,No,B_UNALLOCATEDCASH_ACCT,111
11120,Checking Account 2,,Asset,,,No,,111
11130,Savings Account,,Asset,,,No,,111
11140,Cash in Registers,,Asset,,,No,,111
11150,Petty Cash,Cash Book Asset,Asset,,Yes,No,CB_ASSET_ACCT,111
11151,Petty Cash In-Transfer,Cash Book Transfer,Asset,,Yes,No,CB_CASHTRANSFER_ACCT,111
112,Accounts Receivable,,Asset,,,Yes,,11
1121,Accounts Receivable - Trade,,Asset,,,Yes,,112
11211,Accounts Receivable - Trade,Accounts Receivables,Asset,,Yes,No,C_RECEIVABLE_ACCT,1121
11212,Accounts Receivable Services - Trade,Accounts Receivables for Services,Asset,,Yes,No,,1121
11213,A/R Trade Allowance for Bad Debit,,Asset,,,No,,1121
11216,Not invoiced receivables,We delivered but have not invoiced yet,Asset,,Yes,No,NOTINVOICEDRECEIVABLES_ACCT,1121
11280,Less: Provision For Doubtful Debts,,Asset,,,No,,112
11290,A/R Miscellaneous,,Asset,,,No,,112
114,Inventory,,Asset,,,Yes,,11
11410,General Trade Inventory,Inventory Account,Asset,,Yes,No,W_INVENTORY_ACCT,114
11420,Product asset,Product Inventory Account,Asset,,Yes,No,P_ASSET_ACCT,114
11430,Inventory Control Account,,Asset,,,No,,114
11440,Other Assets,,Asset,,,No,,114
1147,Project Assets,,Asset,,,Yes,,114
11471,Project asset,Created Asset,Asset,,Yes,No,PJ_ASSET_ACCT,1147
